O*NET-SOC Code,Title,anchor_score,sum_pos_z,anchor_count,max_z,soc6,soc5,emp,wage,group
11-1011.00,Chief Executives,0.22178338849473836,3.0129058706147247,4,1.0983262060775252,11-1011,11-1010,211850,206420,Management Occupations
11-1011.03,Chief Sustainability Officers,0.16835776646612644,2.2871239653794415,4,1.2506449127615473,11-1011,11-1010,211850,206420,Management Occupations
11-1021.00,General and Operations Managers,0.31493830984320725,4.278406462486661,7,1.2846014971817807,11-1021,11-1020,3584420,102950,Management Occupations
11-2011.00,Advertising and Promotions Managers,0.24554219233522526,3.3356669216367445,5,0.9353353263613019,11-2011,11-2010,21100,126960,Management Occupations
11-2021.00,Marketing Managers,0.23771356242453967,3.229315741880402,4,1.0192940715039132,11-2021,11-2020,384980,161030,Management Occupations
11-2022.00,Sales Managers,0.2913036946133218,3.9573325017218695,4,1.540730022450132,11-2022,11-2020,603710,138060,Management Occupations
11-2033.00,Fundraising Managers,0.35222902087606767,4.784997163227839,4,1.3966559063327313,11-2033,11-2030,36920,123480,Unknown
11-3012.00,Administrative Services Managers,0.2232007984473896,3.032161247658042,4,0.9957768545335706,11-3012,11-3010,254140,108390,Unknown
11-3013.00,Facilities Managers,0.26076735503753445,3.54249928360122,7,0.8654820921972054,11-3013,11-3010,141090,104690,Unknown
11-3013.01,Security Managers,0.12903933349231791,1.7529868582941213,5,0.5523489322897218,11-3013,11-3010,141090,104690,Unknown
11-3021.00,Computer and Information Systems Managers,0.14322671554490451,1.9457210705586536,3,1.1875492287821923,11-3021,11-3020,645970,171200,Management Occupations
11-3031.00,Financial Managers,0.1659648105351471,2.2546158906245957,2,1.229613018101761,11-3031,11-3030,818620,161700,Unknown
11-3031.01,Treasurers and Controllers,0.1477994178864289,2.007840789365634,3,1.0542288905120991,11-3031,11-3030,818620,161700,Management Occupations
11-3031.03,Investment Fund Managers,0.04533257324462787,0.6158386206731241,1,0.6158386206731241,11-3031,11-3030,818620,161700,Unknown
11-3051.00,Industrial Production Managers,0.2671150241055796,3.628731753623593,7,0.7961485984050605,11-3051,11-3050,234380,121440,Management Occupations
11-3051.01,Quality Control Systems Managers,0.23558229176160606,3.200362636168547,4,1.292708702081116,11-3051,11-3050,234380,121440,Unknown
11-3051.02,Geothermal Production Managers,0.30192240587143737,4.10158666658552,5,1.425721328861154,11-3051,11-3050,234380,121440,Management Occupations
11-3051.03,Biofuels Production Managers,0.34226518158107494,4.649639370610934,5,1.3776457840957546,11-3051,11-3050,234380,121440,Unknown
11-3051.04,Biomass Power Plant Managers,0.268670100709472,3.6498573188019527,7,1.0571421523264213,11-3051,11-3050,234380,121440,Management Occupations
11-3051.06,Hydroelectric Production Managers,0.19205701254122656,2.6090759299221156,5,0.9609910627956212,11-3051,11-3050,234380,121440,Management Occupations
11-3061.00,Purchasing Managers,0.1711441018065531,2.3249760613441124,4,0.9004087092792536,11-3061,11-3060,81240,139510,Management Occupations
11-3071.00,"Transportation, Storage, and Distribution Managers",0.1918691379894825,2.606523672317384,5,0.6742906566516553,11-3071,11-3070,213000,102010,Unknown
11-3071.04,Supply Chain Managers,0.2041688138042829,2.773613578015841,4,0.9957768545335706,11-3071,11-3070,213000,102010,Unknown
