industry,latest_month,employment_k,pre_covid_trend_pct_yr,trend_2022_2025_pct_yr,last_12m_pct,peak_month,since_peak_pct
W2 Data processing/hosting,2026-08,453.3,5.56,2.95,-5.44,2023-08,-7.34
W1 Telephone call centers,2026-07,309.3,-3.56,-10.27,-4.74,2018-01,-41.12
W2 Computing infrastructure,2026-08,328.4,1.76,-1.16,-3.89,2019-11,-13.76
W1 Business support services,2026-08,623.6,-2.03,-6.54,-3.09,2018-01,-30.77
W2 Publishing,2026-08,883.2,4.02,-0.28,-3.04,2022-11,-8.56
W2 Insurance agencies/brokerages,2026-07,1361.4,2.04,3.13,-2.64,2025-01,-2.78
W2 Insurance carriers,2026-08,2930.0,3.21,1.68,-2.51,2025-02,-3.17
W2 Advertising/PR,2026-08,476.0,-0.05,1.12,-1.43,2023-02,-5.41
W2 Credit intermediation,2026-08,2528.3,0.45,-1.69,-1.41,2021-03,-6.83
W2 Computer systems design,2026-08,2362.7,3.37,0.13,-1.31,2023-03,-4.86
W2 Accounting/bookkeeping,2026-08,1124.6,1.98,1.42,-0.22,2024-01,-3.09
Total nonfarm,2026-08,159075.0,1.49,1.76,0.38,2026-08,0.0
Placebo Temporary help,2026-08,2519.5,-1.36,-6.12,1.46,2022-03,-20.3
Control Construction,2026-08,8359.0,3.43,2.79,1.46,2026-08,0.0
Control Food services,2026-08,12426.8,1.84,2.09,1.48,2026-08,0.0
W2 Legal services,2026-08,1245.9,1.09,1.15,1.73,2026-08,0.0
Control Consulting,2026-08,1896.6,3.48,2.3,2.06,2026-08,0.0
Control Architecture/engineering,2026-08,1770.7,2.99,2.84,2.27,2026-08,0.0
Control Health care,2026-08,23928.7,2.49,4.38,2.33,2026-08,0.0
W2 Securities,2026-08,1174.4,0.92,3.37,2.67,2026-08,0.0
W1 Office administrative services,2026-08,639.1,2.78,3.1,3.23,2026-08,0.0
