category,group,jan_2025,latest,latest_month,raw_change_pct,rel_to_aggregate_pts
Accounting,High-Intelligence (Cowen),126.1,92.1,2026-08,-27.0,-19.5
Childcare,Polanyi / embedded,115.8,87.8,2026-08,-24.2,-16.7
Nursing,Polanyi / embedded,119.6,104.2,2026-08,-12.9,-5.4
Administrative assistance,"Routine, not embedded",108.5,95.0,2026-08,-12.4,-4.9
Civil engineering,High-Intelligence (Cowen),165.9,146.5,2026-08,-11.7,-4.2
Mathematics,High-Intelligence (Cowen),68.6,62.5,2025-07,-8.8,-3.5
Architecture,High-Intelligence (Cowen),99.5,90.2,2026-08,-9.3,-1.8
Legal,High-Intelligence (Cowen),130.6,119.6,2026-08,-8.5,-1.0
Insurance,"Routine, not embedded",135.7,124.8,2026-08,-8.0,-0.5
Marketing,Managerial / judgment,82.1,76.5,2026-08,-6.9,0.6
Construction,Polanyi / embedded,129.2,121.8,2026-08,-5.7,1.8
Management,Managerial / judgment,106.9,101.3,2026-08,-5.3,2.2
Sales,Managerial / judgment,94.5,89.8,2026-08,-4.9,2.6
Logistic support,"Routine, not embedded",118.0,115.2,2026-08,-2.3,5.2
Customer service,"Routine, not embedded",87.2,87.8,2026-08,0.7,8.2
Human resources,Managerial / judgment,91.9,94.3,2026-08,2.6,10.1
Project management,Managerial / judgment,109.5,112.6,2026-08,2.9,10.4
Software development,High-Intelligence (Cowen),67.5,74.4,2026-08,10.3,17.8
Electrical engineering,High-Intelligence (Cowen),118.4,139.0,2026-08,17.4,24.9
Industrial engineering,High-Intelligence (Cowen),90.3,114.2,2026-08,26.5,34.0
