model,y,b_const,b_aioe,se_const,se_aioe,r2,n,b_F_comm,b_F_verif,se_F_comm,se_F_verif,b_polanyi_P,b_intelligence_I,se_polanyi_P,se_intelligence_I,b_routine_R,se_routine_R,b_RxP,se_RxP,b_QII,b_QIII,b_QIV,b_ln_wage_2022,se_QII,se_QIII,se_QIV,se_ln_wage_2022
AIOE only,emp_change_pct_22_25,1.217,2.557,2.887,2.675,0.006,201,,,,,,,,,,,,,,,,,,,,
KWDM frictions,emp_change_pct_22_25,4.332,,1.337,,0.039,218,-0.027,2.876,0.968,1.261,,,,,,,,,,,,,,,,
AIOE + KWDM,emp_change_pct_22_25,0.635,3.72,3.462,2.995,0.072,201,0.504,3.581,1.309,1.314,,,,,,,,,,,,,,,,
Two-factor,emp_change_pct_22_25,3.643,,1.334,,0.122,218,,,,,1.52,4.151,1.185,1.583,,,,,,,,,,,,
Routine only,emp_change_pct_22_25,4.738,,1.18,,0.119,218,,,,,,,,,-3.775,1.007,,,,,,,,,,
Three-factor + interaction,emp_change_pct_22_25,5.348,,1.165,,0.165,218,,,,,0.637,2.631,1.236,1.539,-2.497,1.313,1.451,1.049,,,,,,,,
Three-factor + AIOE,emp_change_pct_22_25,5.019,0.193,3.234,3.176,0.176,201,,,,,0.831,2.356,1.357,1.778,-2.457,1.407,1.307,1.089,,,,,,,,
KWDM + three-factor,emp_change_pct_22_25,5.404,,1.114,,0.168,218,-0.953,0.366,1.446,1.11,1.213,2.258,1.67,1.652,-2.385,1.347,1.278,1.013,,,,,,,,
"Three-factor, 22_23",emp_change_pct_22_23,3.099,,0.572,,0.152,218,,,,,0.356,0.643,0.505,0.567,-1.16,0.358,0.447,0.303,,,,,,,,
"Three-factor, 23_24",emp_change_pct_23_24,1.055,,0.424,,0.167,218,,,,,0.571,1.183,0.458,0.624,-0.742,0.582,0.089,0.441,,,,,,,,
"Three-factor, 24_25",emp_change_pct_24_25,0.749,,0.409,,0.11,218,,,,,-0.287,0.759,0.451,0.487,-0.707,0.539,0.85,0.399,,,,,,,,
Wage: quadrants,wage_change_pct_22_25,66.429,,16.135,,0.151,218,,,,,,,,,,,,,-0.288,-0.283,0.354,-4.88,1.632,1.624,1.558,1.451
Wage: two-factor,wage_change_pct_22_25,60.074,,22.96,,0.154,218,,,,,-0.353,0.001,0.571,0.814,,,,,,,,-4.303,,,,2.059
